mlbmid,player_name,bats
455117,"Maldonado, Martín",R
456781,"Solano, Donovan",R
457705,"McCutchen, Andrew",R
457759,"Turner, Justin",R
467793,"Santana, Carlos",S
493329,"Gurriel, Yuli",R
500743,"Rojas, Miguel",R
502054,"Pham, Tommy",R
502671,"Goldschmidt, Paul",R
514888,"Altuve, Jose",R
516782,"Marte, Starling",R
518595,"d'Arnaud, Travis",R
518692,"Freeman, Freddie",L
518792,"Heyward, Jason",L
518934,"LeMahieu, DJ",R
521692,"Perez, Salvador",R
527038,"Flores, Wilmer",R
542303,"Ozuna, Marcell",R
542932,"Berti, Jon",R
542963,"Brantly, Rob",L
543309,"Higashioka, Kyle",R
543760,"Semien, Marcus",R
543807,"Springer, George",R
543877,"Vázquez, Christian",R
545341,"Grichuk, Randal",R
545361,"Trout, Mike",R
547180,"Harper, Bryce",L
553869,"Díaz, Elias",R
553882,"Narváez, Omar",L
553993,"Suárez, Eugenio",R
570482,"Urshela, Gio",R
571448,"Arenado, Nolan",R
571466,"Barnhart, Tucker",L
571657,"Farmer, Kyle",R
571771,"Hernández, Enrique",R
571912,"Maile, Luke",R
571970,"Muncy, Max",L
572191,"Taylor, Michael A.",R
572233,"Walker, Christian",R
573262,"Yastrzemski, Mike",L
575929,"Contreras, Willson",R
578428,"Iglesias, Jose",R
592178,"Bryant, Kris",R
592192,"Canha, Mark",R
592206,"Castellanos, Nick",R
592450,"Judge, Aaron",R
592518,"Machado, Manny",R
592626,"Pederson, Joc",L
592663,"Realmuto, J.T.",R
592669,"Renfroe, Hunter",R
592696,"Rosario, Eddie",L
592885,"Yelich, Christian",L
593428,"Bogaerts, Xander",R
593871,"Polanco, Jorge",S
595777,"Profar, Jurickson",L
595879,"Báez, Javier",R
595978,"Hedges, Austin",R
596019,"Lindor, Francisco",S
596103,"Slater, Austin",R
596115,"Story, Trevor",R
596142,"Sánchez, Gary",R
596146,"Kepler, Max",L
600869,"Candelario, Jeimer",S
602104,"Urías, Ramón",R
605113,"Ahmed, Nick",R
605131,"Barnes, Austin",R
605137,"Bell, Josh",S
605141,"Betts, Mookie",R
605170,"Caratini, Victor",S
605204,"Davis, J.D.",R
605361,"Martini, Nick",L
606115,"Arcia, Orlando",R
606192,"Hernández, Teoscar",R
606466,"Marte, Ketel",S
606992,"Haase, Eric",R
607043,"Nimmo, Brandon",L
607208,"Turner, Trea",R
607680,"Pillar, Kevin",R
607732,"Stallings, Jacob",R
608070,"Ramírez, José",S
608324,"Bregman, Alex",R
608348,"Kelly, Carson",R
608369,"Seager, Corey",L
608385,"Winker, Jesse",L
608671,"Jankowski, Travis",L
608701,"Refsnyder, Rob",R
609280,"Andujar, Miguel",R
620443,"Torrens, Luis",R
621020,"Swanson, Dansby",R
621028,"Newman, Kevin",R
621035,"Taylor, Chris",R
621043,"Correa, Carlos",R
621438,"Taylor, Tyrone",R
621439,"Buxton, Byron",R
621493,"Ward, Taylor",R
621512,"Nido, Tomás",R
621566,"Olson, Matt",L
622534,"Margot, Manuel",R
622569,"Reyes, Pablo",R
622761,"Mateo, Jorge",R
623168,"Heineman, Tyler",S
623993,"Santander, Anthony",S
624413,"Alonso, Pete",R
624415,"Biggio, Cavan",L
624424,"Conforto, Michael",L
624428,"Frazier, Adam",L
624431,"Trevino, Jose",R
624512,"McGuire, Reese",L
624585,"Soler, Jorge",R
624641,"Sosa, Edmundo",R
628451,"Ibáñez, Andy",R
630105,"Cronenworth, Jake",L
640492,"Azocar, José",R
640902,"Pereda, Jhonny",R
641313,"Anderson, Tim",R
641343,"Bauers, Jake",L
641355,"Bellinger, Cody",L
641487,"Crawford, J.P.",L
641555,"Escarra, J.C.",L
641584,"Fraley, Jake",L
641598,"Garver, Mitch",R
641658,"Hampson, Garrett",R
641680,"Heim, Jonah",S
641857,"McMahon, Ryan",L
641933,"O'Neill, Tyler",R
641943,"Palacios, Joshua",L
642133,"Tellez, Rowdy",L
642136,"Thaiss, Matt",L
642180,"Wade, Tyler",L
642201,"White, Eli",R
642215,"Wilson, Weston",R
642350,"Siri, Jose",R
642708,"Rosario, Amed",R
642715,"Adames, Willy",R
642851,"Wynns, Austin",R
643217,"Benintendi, Andrew",L
643289,"Dubón, Mauricio",R
643376,"Jansen, Danny",R
643396,"Kiner-Falefa, Isiah",R
643446,"McNeil, Jeff",L
643565,"Tauchman, Mike",L
644433,"Tromp, Chadwick",R
645277,"Albies, Ozzie",S
645302,"Robles, Victor",R
645305,"Sánchez, Ali",R
645444,"Herrera, Jose",S
646240,"Devers, Rafael",L
647304,"Naylor, Josh",L
647351,"Toro, Abraham",S
649966,"Urías, Luis",R
650333,"Arraez, Luis",L
650402,"Torres, Gleyber",R
650489,"Castro, Willi",S
650490,"Díaz, Yandy",R
650559,"De La Cruz, Bryan",R
650859,"Rengifo, Luis",S
650968,"Pozo, Yohel",R
655316,"Monasterio, Andruw",R
656180,"Adams, Riley",R
656248,"Bouchard, Sean",R
