mlbmid,player_name,throws
434378,"Verlander, Justin",R
450203,"Morton, Charlie",R
455119,"Martin, Chris",R
471911,"Carrasco, Carlos",R
472610,"García, Luis",R
489446,"Yates, Kirby",R
500779,"Quintana, Jose",L
502043,"Gibson, Kyle",R
518397,"Alexander, Scott",L
518585,"Cruz, Fernando",R
518876,"Kelly, Merrill",R
519151,"Pressly, Ryan",R
519242,"Sale, Chris",L
527048,"Pérez, Martín",L
542881,"Anderson, Tyler",L
542888,"Armstrong, Shawn",R
543056,"Coulombe, Danny",L
543135,"Eovaldi, Nathan",R
543243,"Gray, Sonny",R
543294,"Hendricks, Kyle",R
547179,"Lorenzen, Michael",R
547973,"Chapman, Aroldis",L
554340,"García, Yimi",R
554430,"Wheeler, Zack",R
571510,"Boyd, Matthew",L
571578,"Corbin, Patrick",L
571760,"Heaney, Andrew",L
571927,"Matz, Steven",L
571945,"Mikolas, Miles",R
571946,"Miller, Shelby",R
571948,"Milner, Hoby",L
572955,"Johnson, Pierce",R
573124,"Rogers, Taylor",L
573204,"Thielbar, Caleb",L
579328,"Kikuchi, Yusei",L
592094,"Adam, Jason",R
592155,"Booser, Cam",L
592332,"Gausman, Kevin",R
592426,"Jackson, Luke",R
592454,"Kahnle, Tommy",R
592662,"Ray, Robbie",L
592773,"Stanek, Ryne",R
592791,"Taillon, Jameson",R
592836,"Walker, Taijuan",R
592866,"Williams, Trevor",R
593958,"Rodriguez, Eduardo",L
593974,"Peralta, Wandy",L
594798,"deGrom, Jacob",R
594902,"Lively, Ben",R
595345,"Okert, Steven",L
596001,"Junis, Jakob",R
596133,"Weaver, Luke",R
596271,"Lawrence, Casey",R
601713,"Pivetta, Nick",R
605130,"Barlow, Scott",R
605135,"Bassitt, Chris",R
605280,"Holmes, Clay",R
605347,"López, Jorge",R
605400,"Nola, Aaron",R
605447,"Romano, Jordan",R
605452,"Ross, Joe",R
605463,"Scott, Tayler",R
605488,"Springs, Jeffrey",L
606160,"Montero, Rafael",R
606303,"Payamps, Joel",R
606996,"Hart, Kyle",L
607067,"Rea, Colin",R
607074,"Rodón, Carlos",L
607192,"Glasnow, Tyler",R
607200,"Fedde, Erick",R
607259,"Martinez, Nick",R
607455,"Banda, Anthony",L
607481,"Bummer, Aaron",L
607536,"Freeland, Kyle",L
607625,"Lugo, Seth",R
608032,"Estévez, Carlos",R
608331,"Fried, Max",L
608337,"Giolito, Lucas",R
608371,"Sims, Lucas",R
608372,"Sugano, Tomoyuki",R
608379,"Wacha, Michael",R
608566,"Márquez, Germán",R
608717,"Stratton, Chris",R
608718,"Suter, Brent",L
615698,"Quantrill, Cal",R
621053,"Ferguson, Tyler",R
621107,"Eflin, Zach",R
621111,"Buehler, Walker",R
621199,"Bowman, Matt",R
621237,"Alvarado, José",L
621242,"Díaz, Edwin",R
621244,"Berríos, José",R
621366,"Borucki, Ryan",L
621381,"Strahm, Matt",L
621383,"Banks, Tanner",L
622491,"Castillo, Luis",R
622554,"Domínguez, Seranthony",R
622608,"Senzatela, Antonio",R
622663,"Severino, Luis",R
622786,"Tinoco, Jesus",R
623211,"Brazobán, Huascar",R
623352,"Hader, Josh",L
623437,"Topa, Justin",R
623474,"Herget, Jimmy",R
624133,"Suárez, Ranger",L
628452,"Iglesias, Raisel",R
640448,"Finnegan, Kyle",R
641154,"López, Pablo",R
641302,"Alexander, Tyler",L
641329,"Baker, Bryan",R
641745,"Keller, Brad",R
641755,"Kinley, Tyler",R
641793,"Littell, Zack",R
641816,"Mahle, Tyler",R
641927,"Ober, Bailey",R
641941,"Pagán, Emilio",R
642100,"Speier, Gabe",L
642152,"Trivino, Lou",R
642207,"Williams, Devin",R
642232,"Yarbrough, Ryan",L
642397,"Soto, Gregory",L
642547,"Peralta, Freddy",R
642701,"Santana, Dennis",R
643338,"Green, Chad",R
643377,"Jax, Griffin",R
643410,"Leiter Jr., Mark",R
643511,"Rogers, Tyler",R
645261,"Alcantara, Sandy",R
647336,"Soroka, Michael",R
650556,"Abreu, Bryan",R
650633,"King, Michael",R
650911,"Sánchez, Cristopher",L
655889,"Rodríguez, Manuel",R
656222,"Beeks, Jalen",L
656234,"Bird, Jake",R
656240,"Blewett, Scott",R
656271,"Burke, Brock",L
656288,"Canning, Griffin",R
656302,"Cease, Dylan",R
656427,"Flaherty, Jack",R
656546,"Hoffman, Jeff",R
656550,"Holmes, Grant",R
656557,"Houck, Tanner",R
656605,"Keller, Mitch",R
656731,"Megill, Tylor",R
656794,"Newcomb, Sean",L
656849,"Peterson, David",L
656876,"Rasmussen, Drew",R
656945,"Scott, Tanner",L
657006,"Steele, Justin",L
657044,"Thompson, Ryan",R
657097,"Webb, Jacob",R
657240,"Merryweather, Julian",R
657277,"Webb, Logan",R
657376,"Schmidt, Clarke",R
657514,"Bernardino, Brennan",L
657571,"Ferguson, Caleb",L
657585,"Garrett, Reed",R
657612,"Hill, Tim",L
657649,"Koenig, Jared",L
657746,"Ryan, Joe",R
660730,"Rodriguez, Elvin",R
660825,"Bazardo, Eduard",R
660853,"De Los Santos, Enyel",R
660896,"Alcala, Jorge",R
661395,"Duran, Jhoan",R
661403,"Clase, Emmanuel",R
662253,"Muñoz, Andrés",R
663158,"Suarez, Robert",R
663372,"Feltner, Ryan",R
663423,"Thornton, Trent",R
663436,"Martin, Davis",R
663460,"Bubic, Kris",L
663465,"Allard, Kolby",L
663485,"Sands, Cole",R
663554,"Mize, Casey",R
663559,"Falter, Bailey",L
663568,"Kolek, Stephen",R
663574,"Santillan, Tony",R
663623,"Irvin, Jake",R
663738,"Lynch IV, Daniel",L
663767,"Shugart, Chase",R
663855,"Hicks, Jordan",R
663893,"Little, Brendon",L
663903,"Singer, Brady",R
663947,"Holton, Tyler",L
663969,"Phillips, Tyler",R
663978,"Paddack, Chris",R
664062,"Gonsolin, Tony",R
664076,"Cleavinger, Garrett",L
664126,"Fairbanks, Pete",R
664208,"Maton, Phil",R
664285,"Valdez, Framber",L
664854,"Helsley, Ryan",R
665152,"Kremer, Dean",R
665795,"Cabrera, Edward",R
666142,"Ragans, Cole",L
666157,"Lodolo, Nick",L
666171,"Zeferjahn, Ryan",R
666200,"Luzardo, Jesús",L
666214,"Wentz, Joey",L
666277,"Soriano, George",R
666808,"Doval, Camilo",R
666974,"Cano, Yennier",R
667463,"King, John",L
667755,"Soriano, José",R
668674,"Erceg, Lucas",R
668678,"Gallen, Zac",R
668716,"Murdock, Noah",R
668820,"Kranick, Max",R
668881,"Greene, Hunter",R
668909,"Williams, Gavin",R
668933,"Ashcraft, Graham",R
668941,"Romero, JoJo",L
668964,"Myers, Tobias",R
668984,"Legumina, Casey",R
669022,"Gore, MacKenzie",L
669060,"Wilson, Bryse",R
669062,"Miller, Erik",L
669093,"Estrada, Jeremiah",R
669160,"May, Dustin",R
669194,"Nelson, Ryne",R
669199,"Bachar, Lake",R
669203,"Burnes, Corbin",R
669211,"Akin, Keegan",L
669276,"Lee, Dylan",L
669302,"Gilbert, Logan",R
669358,"Baz, Shane",R
669371,"Henry, Cole",R
669372,"Ginn, J.T.",R
669373,"Skubal, Tarik",L
669387,"Mlodzinski, Carmen",R
669438,"Englert, Mason",R
669461,"Liberatore, Matthew",L
669467,"Pallante, Andre",R
669622,"Bender, Anthony",R
669711,"Weissert, Greg",R
669713,"Wesneski, Hayden",R
669724,"Hanifee, Brenan",R
669854,"Blanco, Ronel",R
670059,"Holderman, Colin",R
670102,"Francis, Bowden",R
670167,"Schreiber, John",R
670955,"Uceta, Edwin",R
670970,"Morejon, Adrian",L
671096,"Abbott, Andrew",L
671106,"Allen, Logan",L
671131,"Rutledge, Jackson",R
671737,"Bradley, Taj",R
671922,"Smith, Cade",R
672282,"Detmers, Reid",L
672335,"Pérez, Cionel",L
672456,"Montero, Keider",R
672578,"Hernández, Carlos",R
672582,"Zerpa, Angel",L
672782,"Gómez, Yoendrys",R
672841,"Vargas, Carlos",R
673513,"Matsui, Yuki",L
673540,"Senga, Kodai",R
673929,"Leasure, Jordan",R
674285,"Salazar, Eduardo",R
674370,"Bido, Osvaldo",R
676092,"Snider, Collin",R
676106,"Hancock, Emerson",R
676130,"Buttó, José",R
676254,"Walker, Ryan",R
676263,"Dreyer, Jack",L
676282,"Cantillo, Joey",L
676395,"Garcia, Robert",L
676428,"Hurter, Brant",L
676440,"Bibee, Tanner",R
676477,"Whitlock, Garrett",R
676508,"Casparius, Ben",R
676534,"Faucher, Calvin",R
676664,"Sears, JP",L
676684,"Vest, Will",R
676962,"Brown, Ben",R
676974,"Meyer, Max",R
676979,"Crochet, Garrett",L
677958,"Rocker, Kumar",R
678020,"Halvorsen, Seth",R
678024,"Vasil, Mike",R
678226,"Hernández, Daysbel",R
678368,"Bellozo, Valente",R
678394,"Bello, Brayan",R
678495,"Rodríguez, Randy",R
678606,"Ferrer, Jose A.",L
678692,"Henriquez, Ronny",R
679358,"Orze, Eric",R
680573,"Woods Richardson, Simeon",R
680684,"Hoglund, Gunnar",R
680730,"Parker, Mitchell",L
680732,"Burke, Sean",R
680885,"Schwellenbach, Spencer",R
681190,"Vásquez, Randy",R
681343,"Smith, Shane",R
681517,"Leahy, Kyle",R
681857,"Olson, Reese",R
681911,"Vesia, Alex",L
681982,"Anderson, Grant",R
682120,"Herrin, Tim",L
682171,"Murfee, Penn",R
682243,"Miller, Bryce",R
682254,"Montgomery, Mason",L
682842,"Uribe, Abner",R
682847,"Ortiz, Luis L.",R
682990,"Priester, Quinn",R
683004,"Leiter, Jack",R
683232,"Mears, Nick",R
683409,"Chivilli, Angel",R
683769,"Gaddis, Hunter",R
684007,"Imanaga, Shota",L
684320,"Rodríguez, Yariel",R
685107,"Veneziano, Anthony",L
685126,"Eisert, Brandon",L
685801,"Bigge, Hunter",R
686563,"Cannon, Jonathan",R
686580,"Slaten, Justin",R
686613,"Brown, Hunter",R
686730,"Spiers, Carson",R
686752,"Pepiot, Ryan",R
686799,"Kochanowicz, Jack",R
686973,"Varland, Louis",R
686993,"Sterner, Justin",R
687134,"Blalock, Bradley",R
687362,"Gillispie, Connor",R
687473,"Gusto, Ryan",R
687765,"Spence, Mitch",R
687863,"Hodge, Porter",R
687911,"King, Bryan",L
687922,"Lucas, Easton",L
688138,"Evans, Logan",R
689017,"Knack, Landon",R
689147,"Kerkering, Orion",R
689225,"Brieske, Beau",R
689254,"Fluharty, Mason",L
689690,"Jacob, Alek",R
690916,"Fitts, Richard",R
690928,"Dobbins, Hunter",R
693433,"Woo, Bryan",R
693821,"Elder, Bryce",R
694297,"Pfaadt, Brandon",R
694477,"Patrick, Chad",R
694738,"Roupp, Landen",R
694973,"Skenes, Paul",R
695243,"Miller, Mason",R
695418,"Lord, Brad",R
695549,"Jobe, Jackson",R
696270,"Johnson, Ryan",R
700249,"Povich, Cade",L
700363,"Smith-Shawver, AJ",R
701542,"Warren, Will",R
702352,"Bivens, Spencer",R
801403,"Dollander, Chase",R
806185,"Birdsong, Hayden",R
808963,"Sasaki, Roki",R
808967,"Yamamoto, Yoshinobu",R
